month,monthly_ic,monthly_rank_ic
202502,0.01575264315298463,0.0120094417099921
202503,-0.01354861424251685,-0.0217231805362335
202504,0.024229775639260608,0.03024295332048867
202505,0.02152680858306301,0.01945220646543097
202506,0.01084874276396129,0.008931205906226886
202507,0.0024257553119928724,-0.02130048064343561
202508,-0.008253507885543297,-0.013805138807162354
202509,0.0158120713374233,0.009335464767726084
202510,0.007085639447080116,-0.008749317588776765
202511,0.003984864927019715,-0.004835796222048376
202512,-0.004485455020118905,-0.03048542037669461
