month,monthly_ic,monthly_rank_ic
202502,0.0382311322411468,0.04376265053695257
202503,0.025194740215087903,0.0023643168017737177
202504,0.11024369800827064,0.09425286394705248
202505,0.009885533882665417,-0.019221122283516242
202506,0.046363856396879684,0.004626083105928414
202507,0.025568875572738882,-0.0017404516441878286
202508,0.03140654793839049,0.024407204864123858
202509,0.015083176548290382,-0.004344964651824196
202510,-0.023581689847934222,-0.03700216887796145
202511,0.039032925474171976,0.027261710300108984
202512,0.03182383376615024,-0.018503056900592327
