month,monthly_ic,monthly_rank_ic
202502,0.0541082833243419,0.07476028804945273
202503,0.0027529692084101052,-0.02504723821111386
202504,0.07493589578752978,0.03912928101167271
202505,0.015127814969804494,-0.017660272054069535
202506,0.03831966580184076,0.006361932990088969
202507,0.03238394575259867,0.012102407650771325
202508,0.051714750715656496,0.037068640583579344
202509,0.01549387756905138,-0.007217450256634817
202510,-0.02637347361946541,-0.03938342801341218
202511,0.04579453015479562,0.03427985535257326
202512,0.025731608153277238,-0.012940580014038059
